Sheet,Cell,Value,Formula
Summary,U14,kWe utilised,
Summary,X14,input,
Summary,Z14,kWe utilised,
Summary,AC14,input,
Summary,AE14,kWe utilised,
Summary,AH14,input,
Summary,AJ14,kWe utilised,
Summary,AM14,input,
Summary,AO14,kWe utilised,
Summary,AR14,input,
Summary,AT14,kWe utilised,
Summary,AW14,input,
Summary,AY14,kWe utilised,
Summary,BB14,input,
Summary,BD14,kWe utilised,
Summary,BG14,input,
Summary,BI14,kWe utilised,
Summary,BL14,input,
Summary,B15,"Now iteratively enter PPA price until the Target IRR has been met (e.g., below answers ""yes"" and turns green).",
Summary,R15,RPI linked,
Summary,U15,EPC price,
Summary,X15,input,
Summary,Z15,EPC price,
Summary,AC15,input,
Summary,AE15,EPC price,
Summary,AH15,input,
Summary,AJ15,EPC price,
Summary,AM15,input,
Summary,AO15,EPC price,
Summary,AR15,input,
Summary,AT15,EPC price,
Summary,AW15,input,
Summary,AY15,EPC price,
Summary,BB15,input,
Summary,BD15,EPC price,
Summary,BG15,input,
Summary,BI15,EPC price,
Summary,BL15,input,
Summary,B16,"NB - the PPA price can be as low as possible whilst satisfying the Target IRR, but of course can be higher than this amount.",
Summary,P16,Additionals,
Summary,Q16,0,
Summary,R16,0,
Summary,U16,Service,
Summary,W16,0,
Summary,X16,input,
Summary,Z16,Service,
Summary,AB16,0,
Summary,AC16,input,
Summary,AE16,Service,
Summary,AG16,0,
Summary,AH16,input,
Summary,AJ16,Service,
Summary,AL16,0,
Summary,AM16,input,
Summary,AO16,Service,
Summary,AQ16,0,
Summary,AR16,input,
Summary,AT16,Service,
Summary,AV16,0,
Summary,AW16,input,
Summary,AY16,Service,
Summary,BA16,0,
Summary,BB16,input,
Summary,BD16,Service,
Summary,BF16,0,
Summary,BG16,input,
Summary,BI16,Service,
Summary,BK16,0,
Summary,BL16,input,
Summary,P17,Ground Rent,
Summary,Q17,=Q21*Q22,=Q21*Q22
Summary,R17,0,
Summary,B18,PPA Price,
Summary,C18,(p/kWh),
Summary,D18,='Auto Calculate'!J4,='Auto Calculate'!J4
Summary,E18,input,
Summary,H18,Use Goal seek,
Summary,P18,Other additionals,
Summary,Q18,0,
Summary,R18,0,
Summary,B19,Fixed price PPA,
Summary,D19,0,
Summary,F19,='Calculation Debt'!N12,='Calculation Debt'!N12
Summary,H19,Target,
Summary,P21,Ground area - acres,
Summary,Q21,0,
Summary,P22,£ / acre,
Summary,Q22,1500,
Summary,P24,O&M (£/kWp),
Summary,Q24,10,
Summary,P26,Commission Single Payment,
Summary,Q26,0.05,
Summary,R26,='Calculation Debt'!I2*Q26,='Calculation Debt'!I2*Q26
Summary,T26,Total,
Summary,U26,% Capex,
Summary,W26,% of EBITDA,
Summary,X26,% profit,
Summary,Z26,Commission Single Payment,
Summary,AA26,0.01,
Summary,AB26,='Calculation Debt'!I2*Summary!AA26,='Calculation Debt'!I2*Summary!AA26
Summary,P27,Commission - accrual,
Summary,Q27,0,
Summary,R27,0,
Summary,S27,RPI,
Summary,T27,=SUM('Calculation Debt'!D65:AB65),=SUM('Calculation Debt'!D65:AB65)
Summary,U27,=SUM('Calculation Debt'!D65:AB65)/'Calculation Debt'!I2,=SUM('Calculation Debt'!D65:AB65)/'Calculation Debt'!I2
Summary,W27,=T27/SUM('Calculation Debt'!D67:R67),=T27/SUM('Calculation Debt'!D67:R67)
Summary,X27,=T27/SUM('Calculation Debt'!D111:R111),=T27/SUM('Calculation Debt'!D111:R111)
Auto Calculate,E2,Inputs,
Auto Calculate,I2,Outputs,
Auto Calculate,E4,EPC price £/kWp,
Auto Calculate,F4,750,
Auto Calculate,I4,PPA Price - pkWe,
Auto Calculate,J4,12.48676035218934,
Auto Calculate,E5,Project Size - kWp,
Auto Calculate,F5,48,
Auto Calculate,E6,Yearly Yield  - kWe,
Auto Calculate,F6,48000,
Auto Calculate,E8,Project Size - kWp,
Auto Calculate,F8,=#REF!*0.8*0.21829,=#REF!*0.8*0.21829
Auto Calculate,H8,Outputs,
Auto Calculate,E10,Yearly Yield  - kWe,
Auto Calculate,F10,=F8*850,=F8*850
Auto Calculate,E11,Contract Length - Years,
Auto Calculate,F11,25,
Auto Calculate,G11,Do not use lower than 20 years,
Auto Calculate,F17,='Without Debt'!N7,='Without Debt'!N7
Auto Calculate,I29,='Without Debt'!$N$7,='Without Debt'!$N$7
Calculation Debt,I1,PV,
Calculation Debt,B2,PPA Calculator ,
Calculation Debt,D2,=Summary!D6,=Summary!D6
Calculation Debt,H2,Cost of Install,
Calculation Debt,I2,=Summary!D14,=Summary!D14
Calculation Debt,H3,Inverter Cost,
Calculation Debt,I3,=H11,=H11
Calculation Debt,B4,Assumptions,
Calculation Debt,H4,Total Cost,
Calculation Debt,I4,=SUM(I2:I3),=SUM(I2:I3)
Calculation Debt,K4,Project,
Calculation Debt,B5,Revenue,
Calculation Debt,E5,Initial Cost,
Calculation Debt,K5,Cash Investment Total,
Calculation Debt,N5,=SUM(C127),=SUM(C127)
Calculation Debt,B6,Self consumption (%),
Calculation Debt,C6,"=IF(Summary!D8>0,Summary!D8,1)","=IF(Summary!D8>0,Summary!D8,1)"
Calculation Debt,D6,=Summary!H8,=Summary!H8
Calculation Debt,E6,Year,
Calculation Debt,H6,0,
Calculation Debt,I6,=Summary!D11,=Summary!D11
Calculation Debt,J6,EPC,
Calculation Debt,K6,"Pre-tax, Project IRR",
Calculation Debt,N6,=IRR(C155:AG155),=IRR(C155:AG155)
Calculation Debt,B7,Project Size (kWp),
Calculation Debt,C7,=Summary!D9+Summary!H9+Summary!W6+Summary!AB6+Summary!AG6+Summary!AL6+Summary!AQ6+Summary!AV6+Summary!BA6+Summary!BF6+Summary!BK6+Summary!M8+Summary!W13+Summary!AB13+Summary!AG13+Summary!AL13+Summary!AQ13+Summary!AV13+Summary!BA13+Summary!BF13+Summary!BK13,=Summary!D9+Summary!H9+Summary!W6+Summary!AB6+Summary!AG6+Summary!AL6+Summary!AQ6+Summary!AV6+Summary!BA6+Summary!BF6+Summary!BK6+Summary!M8+Summary!W13+Summary!AB13+Summary!AG13+Summary!AL13+Summary!AQ13+Summary!AV13+Summary!BA13+Summary!BF13+Summary!BK13
Calculation Debt,E7,Commission Cost (£) @6%,
Calculation Debt,H7,=Summary!R26+Summary!AB26,=Summary!R26+Summary!AB26
Calculation Debt,I7,=Summary!H11,=Summary!H11
Calculation Debt,J7,EPC2,
Calculation Debt,K7,"Post-tax, Project IRR",
Calculation Debt,N7,=IRR(C156:AG156),=IRR(C156:AG156)
Calculation Debt,D8,0.905,
Calculation Debt,E8,EPC (£/kWp),
Calculation Debt,H8,=I6,=I6
Calculation Debt,K8,Year 1 EBITDA yield,
Calculation Debt,N8,=D67/N5,=D67/N5
Calculation Debt,B9,Yield (kWh/kWp),
Calculation Debt,C9,=Summary!D10+Summary!H10+Summary!M9+Summary!W7+Summary!W14+Summary!AB7+Summary!AB14+Summary!AG7+Summary!AG14+Summary!AL7+Summary!AL14+Summary!AQ7+Summary!AQ14+Summary!AV7+Summary!AV14+Summary!BA7+Summary!BA14+Summary!BF7+Summary!BF14+Summary!BK7+Summary!BK14,=Summary!D10+Summary!H10+Summary!M9+Summary!W7+Summary!W14+Summary!AB7+Summary!AB14+Summary!AG7+Summary!AG14+Summary!AL7+Summary!AL14+Summary!AQ7+Summary!AQ14+Summary!AV7+Summary!AV14+Summary!BA7+Summary!BA14+Summary!BF7+Summary!BF14+Summary!BK7+Summary!BK14
Calculation Debt,D9,=Summary!H10,=Summary!H10
Calculation Debt,K9,Year 1 gross yield,
Calculation Debt,N9,=D52/C127,=D52/C127
Calculation Debt,B10,Output Degradation Year 2-25,
Calculation Debt,C10,0.005,
Calculation Debt,D10,0.0004,
Calculation Debt,E10,Maintenance Capex,
Calculation Debt,K10,Pay Back in years,
Calculation Debt,L10,"pre fees, pre tax",
Calculation Debt,N10,"=COUNTIF(C158:AB158,""<0"")","=COUNTIF(C158:AB158,""<0"")"
Calculation Debt,B11,Tariff - generation subsidy (p/kWh),
Calculation Debt,C11,0,
Calculation Debt,D11,0,
Calculation Debt,E11,Inverter Maintenance capex 1 (£),
Calculation Debt,H11,=Summary!D13,=Summary!D13
Calculation Debt,I11,Invertor Costs,
Calculation Debt,J11,Invertor size kWe,
Calculation Debt,L11,post tax,
Calculation Debt,N11,"=COUNTIF(C159:AB159,""<0"")","=COUNTIF(C159:AB159,""<0"")"
Calculation Debt,B12,Tariff - power exported (p/kWh),
Calculation Debt,C12,7,
Calculation Debt,D12,10,
Calculation Debt,E12,Inverter Maintenance capex 1 (year),
Calculation Debt,H12,12,
Calculation Debt,I12,3250,
Calculation Debt,J12,100,
Calculation Debt,M12,Target IRR,
Calculation Debt,N12,0.11,
Calculation Debt,B13,FMP,
Calculation Debt,C13,0,
Calculation Debt,D13,15.5,
Calculation Debt,E13,Battery Maintenance capex 2 (£),
Calculation Debt,H13,0,
Calculation Debt,I13,=(Summary!D9+Summary!H9+Summary!W6+Summary!AB6+Summary!AG6+Summary!AL6+Summary!AQ6+Summary!AV6+Summary!BA6+Summary!BF6+Summary!BK6)/J12,=(Summary!D9+Summary!H9+Summary!W6+Summary!AB6+Summary!AG6+Summary!AL6+Summary!AQ6+Summary!AV6+Summary!BA6+Summary!BF6+Summary!BK6)/J12
Calculation Debt,J13,"=ROUND(I13,0)*I12","=ROUND(I13,0)*I12"
Calculation Debt,K13,PV1 ,
Calculation Debt,B14,discount on FMP,
Calculation Debt,C14,0,
Calculation Debt,D14,0,
Calculation Debt,E14,Battery Maintenance capex 2 (year),
Calculation Debt,H14,0,
Calculation Debt,I14,=Summary!H9/J12,=Summary!H9/J12
