turbine_id,latitude,longitude,overall_score,priority,remaining_fit_years,repowering_window,postcode,turbine_details
4620,50.28595582518743,-5.028004433225328,0.734,HIGH,4.607802874743326,URGENT,TR18,"{'age_years': 15.38945927446954, 'capacity_mw': 0.1, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4852,57.129847360602916,-2.128595678038061,0.734,HIGH,4.558521560574949,URGENT,AB30,"{'age_years': 15.43874058863792, 'capacity_mw': 0.055, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5241,57.45751844426752,-4.225788356393972,0.734,HIGH,4.1067761806981515,URGENT,IV22,"{'age_years': 15.890485968514716, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5258,53.31056957088105,-3.795407103033978,0.734,HIGH,4.594113620807666,URGENT,LL39,"{'age_years': 15.403148528405202, 'capacity_mw': 0.006, 'location': 'Gwynedd - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5290,50.239232253377125,-5.036357900728045,0.734,HIGH,4.547570157426421,URGENT,TR13,"{'age_years': 15.449691991786448, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5304,55.954997892203544,-3.2273757436555095,0.734,HIGH,4.303901437371663,URGENT,EH14,"{'age_years': 15.693360711841205, 'capacity_mw': 0.0025, 'location': 'City of Edinburgh - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5469,55.95538612260837,-3.2299205216311724,0.734,HIGH,4.837782340862423,URGENT,EH37,"{'age_years': 15.159479808350445, 'capacity_mw': 0.006, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5591,55.50433566213664,-2.7399171290597324,0.734,HIGH,4.865160848733744,URGENT,TD10,"{'age_years': 15.132101300479125, 'capacity_mw': 0.005, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5715,59.00444167923552,-3.0052798246371513,0.734,HIGH,4.876112251882272,URGENT,KW14,"{'age_years': 15.121149897330595, 'capacity_mw': 0.0025, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5895,57.4602575187142,-4.266241016831178,0.734,HIGH,4.616016427104722,URGENT,IV55,"{'age_years': 15.381245722108146, 'capacity_mw': 0.006, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5903,50.22099114801013,-5.041701650858918,0.734,HIGH,4.323066392881588,URGENT,TR27,"{'age_years': 15.67419575633128, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5908,52.67658341677036,-2.792207455780864,0.734,HIGH,4.58590006844627,URGENT,SY15,"{'age_years': 15.411362080766597, 'capacity_mw': 0.006, 'location': 'Powys - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6005,55.72368795461737,-3.7524963136685474,0.734,HIGH,4.692676249144422,URGENT,ML10,"{'age_years': 15.304585900068446, 'capacity_mw': 0.005, 'location': 'South Lanarkshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6055,55.054644067091914,-3.636890566944953,0.734,HIGH,4.725530458590007,URGENT,DG8 ,"{'age_years': 15.271731690622861, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6352,56.43553455968367,-3.0152188568815594,0.734,HIGH,4.514715947980835,URGENT,DD8 ,"{'age_years': 15.482546201232033, 'capacity_mw': 0.015, 'location': 'Angus - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6353,60.19689556296381,-1.1242678570524618,0.734,HIGH,4.547570157426421,URGENT,ZE2 ,"{'age_years': 15.449691991786448, 'capacity_mw': 0.006, 'location': 'Shetland Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6397,53.938634572087125,-1.0143410448039896,0.734,HIGH,4.61327857631759,URGENT,YO16,"{'age_years': 15.383983572895277, 'capacity_mw': 0.011, 'location': 'East Riding of Yorkshire - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6447,55.04497226912859,-3.612020795381949,0.734,HIGH,4.251882272416153,URGENT,DG8 ,"{'age_years': 15.745379876796715, 'capacity_mw': 0.006, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6521,57.168356653890434,-2.1392759606480025,0.734,HIGH,4.134154688569473,URGENT,AB33,"{'age_years': 15.863107460643395, 'capacity_mw': 0.006, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6583,55.62863390312139,-4.640216437847522,0.734,HIGH,4.588637919233402,URGENT,KA1 ,"{'age_years': 15.408624229979466, 'capacity_mw': 0.013699999999999999, 'location': 'South Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6690,53.9172192909716,-1.022469244152244,0.734,HIGH,4.747433264887063,URGENT,YO17,"{'age_years': 15.249828884325805, 'capacity_mw': 0.011, 'location': 'Ryedale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6744,60.124427725562185,-1.1464658365055749,0.734,HIGH,4.607802874743326,URGENT,ZE2 ,"{'age_years': 15.38945927446954, 'capacity_mw': 0.02, 'location': 'Shetland Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6775,53.829231929229415,-1.7656684555140154,0.734,HIGH,4.865160848733744,URGENT,BD19,"{'age_years': 15.132101300479125, 'capacity_mw': 0.011, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6789,57.192597314449344,-2.0776201914945354,0.734,HIGH,4.167008898015058,URGENT,AB54,"{'age_years': 15.83025325119781, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6855,55.02054635689347,-3.5663245606088836,0.734,HIGH,4.903490759753593,URGENT,DG8 ,"{'age_years': 15.093771389459274, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6872,55.82261918589811,-4.290926725666487,0.734,HIGH,3.975359342915811,URGENT,G77 ,"{'age_years': 16.021902806297057, 'capacity_mw': 0.006, 'location': 'East Renfrewshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6880,53.62352558522461,-1.7503672668060426,0.734,HIGH,4.720054757015743,URGENT,HD6 ,"{'age_years': 15.277207392197125, 'capacity_mw': 0.005, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6888,53.68596541746674,-1.807654605205123,0.734,HIGH,4.837782340862423,URGENT,HD7 ,"{'age_years': 15.159479808350445, 'capacity_mw': 0.022, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6895,53.9970628870218,-1.5329285588275712,0.734,HIGH,4.9253935660506505,URGENT,HG5 ,"{'age_years': 15.071868583162217, 'capacity_mw': 0.01499, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6970,53.986022963079954,-1.525015421169192,0.734,HIGH,4.952772073921971,URGENT,HG5 ,"{'age_years': 15.044490075290897, 'capacity_mw': 0.02999, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6988,53.32239301826796,-3.783108512993097,0.734,HIGH,4.955509924709103,URGENT,LL18,"{'age_years': 15.041752224503764, 'capacity_mw': 0.005, 'location': 'Flintshire - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7031,55.061519657236836,-3.6260868461770004,0.734,HIGH,4.632443531827516,URGENT,DG9 ,"{'age_years': 15.364818617385353, 'capacity_mw': 0.011, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7090,53.93919503653363,-0.997773609569357,0.734,HIGH,4.421629021218344,URGENT,YO14,"{'age_years': 15.575633127994525, 'capacity_mw': 0.022, 'location': 'Scarborough - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7184,53.773963521932295,-1.5351720956657153,0.734,HIGH,4.980150581793292,URGENT,LS21,"{'age_years': 15.017111567419576, 'capacity_mw': 0.011, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7198,50.29509497194195,-5.024797943575397,0.734,HIGH,4.183436002737851,URGENT,TR4 ,"{'age_years': 15.813826146475018, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7335,55.034188977790045,-3.5761318212707787,0.734,HIGH,4.511978097193703,URGENT,DG9 ,"{'age_years': 15.485284052019164, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7457,55.917711062823166,-3.2046771442457156,0.734,HIGH,4.48186173853525,URGENT,EH46,"{'age_years': 15.515400410677618, 'capacity_mw': 0.006, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7493,53.848466263346786,-1.562382572664162,0.734,HIGH,4.4517453798767965,URGENT,LS19,"{'age_years': 15.545516769336071, 'capacity_mw': 0.011, 'location': 'Leeds - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7498,57.42962759016412,-4.241856430638018,0.734,HIGH,4.514715947980835,URGENT,IV27,"{'age_years': 15.482546201232033, 'capacity_mw': 0.006, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7559,50.29726540428748,-5.009066852665624,0.734,HIGH,4.591375770020534,URGENT,TR19,"{'age_years': 15.405886379192333, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7683,55.09695956657772,-3.656196006688125,0.734,HIGH,4.725530458590007,URGENT,DG9 ,"{'age_years': 15.271731690622861, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7762,55.03655245653825,-3.634831058599027,0.734,HIGH,4.761122518822724,URGENT,DG9 ,"{'age_years': 15.236139630390143, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7823,58.937830780426495,-2.9457219712935965,0.734,HIGH,4.689938398357289,URGENT,KW17,"{'age_years': 15.307323750855579, 'capacity_mw': 0.006, 'location': 'Orkney Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7881,56.18948385930105,-3.19484702197138,0.734,HIGH,4.684462696783025,URGENT,KY13,"{'age_years': 15.312799452429843, 'capacity_mw': 0.015, 'location': 'Perth and Kinross - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7929,57.79138184111908,-7.038913832154959,0.734,HIGH,4.673511293634497,URGENT,HS2 ,"{'age_years': 15.323750855578371, 'capacity_mw': 0.006, 'location': 'Na h-Eileanan Siar - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7932,56.365750648037114,-3.4203420909421838,0.734,HIGH,4.555783709787817,URGENT,PH11,"{'age_years': 15.441478439425051, 'capacity_mw': 0.011, 'location': 'Perth and Kinross - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7937,56.4912616201576,-2.948335528608812,0.734,HIGH,4.785763175906913,URGENT,DD3 ,"{'age_years': 15.211498973305956, 'capacity_mw': 0.015, 'location': 'Angus - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8037,55.03758181886444,-3.6200810898903746,0.734,HIGH,4.725530458590007,URGENT,DG9 ,"{'age_years': 15.271731690622861, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8271,56.135406568852545,-3.9687117048839595,0.734,HIGH,4.7967145790554415,URGENT,FK7 ,"{'age_years': 15.200547570157427, 'capacity_mw': 0.0015, 'location': 'Stirling - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8284,55.09985767619324,-3.649923141696712,0.734,HIGH,4.731006160164271,URGENT,DG8 ,"{'age_years': 15.266255989048597, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8419,50.694121920021786,-3.5634407487907627,0.734,HIGH,4.733744010951403,URGENT,EX23,"{'age_years': 15.263518138261464, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8421,56.34581731164998,-3.474293118763268,0.734,HIGH,4.722792607802875,URGENT,PH33,"{'age_years': 15.274469541409994, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8426,54.46073093222355,-3.4737978902208497,0.734,HIGH,4.328542094455853,URGENT,HX7 ,"{'age_years': 15.668720054757015, 'capacity_mw': 0.011, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8442,54.507096594673094,-3.4501647030934888,0.734,HIGH,4.854209445585216,URGENT,HX6 ,"{'age_years': 15.143052703627653, 'capacity_mw': 0.006, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8483,53.60727774580685,-1.8144034315306765,0.734,HIGH,4.59958932238193,URGENT,HD9 ,"{'age_years': 15.397672826830938, 'capacity_mw': 0.006, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8494,56.436585916542846,-3.391082929992941,0.734,HIGH,4.837782340862423,URGENT,PH7 ,"{'age_years': 15.159479808350445, 'capacity_mw': 0.015, 'location': 'Perth and Kinross - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8550,53.94806986461901,-1.0177899928072118,0.734,HIGH,4.763860369609857,URGENT,YO25,"{'age_years': 15.233401779603012, 'capacity_mw': 0.011, 'location': 'East Riding of Yorkshire - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8595,55.118764880895036,-3.5976384812656668,0.734,HIGH,4.761122518822724,URGENT,DG9 ,"{'age_years': 15.236139630390143, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8691,55.52744579360733,-2.812595280351288,0.734,HIGH,4.728268309377139,URGENT,TD12,"{'age_years': 15.268993839835728, 'capacity_mw': 0.045, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8927,57.13788644037299,-2.0460951544041612,0.734,HIGH,4.769336071184121,URGENT,AB45,"{'age_years': 15.227926078028748, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8933,57.472819435552765,-4.264053456754354,0.734,HIGH,4.720054757015743,URGENT,IV27,"{'age_years': 15.277207392197125, 'capacity_mw': 0.006, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
8951,55.10145051806745,-3.6210490586752786,0.734,HIGH,4.720054757015743,URGENT,DG7 ,"{'age_years': 15.277207392197125, 'capacity_mw': 0.0025, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9051,55.91918556713281,-3.23618878723777,0.734,HIGH,4.8405201916495555,URGENT,EH37,"{'age_years': 15.156741957563312, 'capacity_mw': 0.006, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9195,55.05474475944902,-3.6246476827101324,0.734,HIGH,4.856947296372348,URGENT,DG2 ,"{'age_years': 15.14031485284052, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9236,58.42446578518318,-3.0761131013575014,0.734,HIGH,4.706365503080082,URGENT,KW7 ,"{'age_years': 15.290896646132786, 'capacity_mw': 0.006, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9246,57.822047730625336,-6.9771678132780375,0.734,HIGH,4.673511293634497,URGENT,HS2 ,"{'age_years': 15.323750855578371, 'capacity_mw': 0.006, 'location': 'Na h-Eileanan Siar - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
