turbine_id,latitude,longitude,overall_score,priority,remaining_fit_years,repowering_window,postcode,turbine_details
4620,50.12145849239318,-5.700981044826443,0.734,HIGH,4.607802874743326,URGENT,TR18,"{'age_years': 15.38945927446954, 'capacity_mw': 0.1, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4852,57.18370287961467,-2.057407886125537,0.734,HIGH,4.558521560574949,URGENT,AB30,"{'age_years': 15.43874058863792, 'capacity_mw': 0.055, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5241,57.485233400082635,-4.21452579275914,0.734,HIGH,4.1067761806981515,URGENT,IV22,"{'age_years': 15.890485968514716, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5258,53.27874633194352,-3.8087866751445514,0.734,HIGH,4.594113620807666,URGENT,LL39,"{'age_years': 15.403148528405202, 'capacity_mw': 0.006, 'location': 'Gwynedd - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5290,50.16073853673104,-5.267528737044703,0.734,HIGH,4.547570157426421,URGENT,TR13,"{'age_years': 15.449691991786448, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5304,55.982915443338804,-3.1580780464646,0.734,HIGH,4.303901437371663,URGENT,EH14,"{'age_years': 15.693360711841205, 'capacity_mw': 0.0025, 'location': 'City of Edinburgh - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5469,55.95190690466612,-3.1727144442321076,0.734,HIGH,4.837782340862423,URGENT,EH37,"{'age_years': 15.159479808350445, 'capacity_mw': 0.006, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5591,55.51481164213223,-2.740427051222134,0.734,HIGH,4.865160848733744,URGENT,TD10,"{'age_years': 15.132101300479125, 'capacity_mw': 0.005, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5715,54.54746194367547,-3.493116764938375,0.734,HIGH,4.876112251882272,URGENT,KW14,"{'age_years': 15.121149897330595, 'capacity_mw': 0.0025, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5895,54.51073601232049,-3.4838570465607246,0.734,HIGH,4.616016427104722,URGENT,IV55,"{'age_years': 15.381245722108146, 'capacity_mw': 0.006, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5903,50.17473392586267,-5.395541653848683,0.734,HIGH,4.323066392881588,URGENT,TR27,"{'age_years': 15.67419575633128, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5908,52.74025651295399,-2.7403806502094876,0.734,HIGH,4.58590006844627,URGENT,SY15,"{'age_years': 15.411362080766597, 'capacity_mw': 0.006, 'location': 'Powys - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6005,55.742833870474506,-3.7857958265884903,0.734,HIGH,4.692676249144422,URGENT,ML10,"{'age_years': 15.304585900068446, 'capacity_mw': 0.005, 'location': 'South Lanarkshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6055,55.058785247634276,-3.604406781761386,0.734,HIGH,4.725530458590007,URGENT,DG8 ,"{'age_years': 15.271731690622861, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6352,56.53055605063572,-2.9451775379699066,0.734,HIGH,4.514715947980835,URGENT,DD8 ,"{'age_years': 15.482546201232033, 'capacity_mw': 0.015, 'location': 'Angus - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6353,60.423871875350386,-1.2266364999326256,0.734,HIGH,4.547570157426421,URGENT,ZE2 ,"{'age_years': 15.449691991786448, 'capacity_mw': 0.006, 'location': 'Shetland Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6397,53.947051853395486,-1.1522472204709082,0.734,HIGH,4.61327857631759,URGENT,YO16,"{'age_years': 15.383983572895277, 'capacity_mw': 0.011, 'location': 'East Riding of Yorkshire - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6447,55.223920175848875,-3.5940325057829936,0.734,HIGH,4.251882272416153,URGENT,DG8 ,"{'age_years': 15.745379876796715, 'capacity_mw': 0.006, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6521,57.14228797618735,-2.097945109926362,0.734,HIGH,4.134154688569473,URGENT,AB33,"{'age_years': 15.863107460643395, 'capacity_mw': 0.006, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
